Time,AS27 (Evapotranspiration),AS24 (Daily rain),AS25 (Rain rate),AS21 (Wind speed),AS19 (Temperature)
01-02-2023 05:25:20,0.00,0.00,,0.00,17.50
01-02-2023 05:30:20,,,,,17.40
01-02-2023 05:40:20,,,,,17.40
01-02-2023 05:45:20,,,,,17.60
01-02-2023 05:50:20,,,,,17.60
01-02-2023 05:55:20,,,,,17.70
01-02-2023 06:15:20,,,,,17.70
01-02-2023 06:20:20,,,,,17.80
01-02-2023 06:25:20,,,,,17.70
01-02-2023 06:30:20,,,,,17.60
01-02-2023 06:40:20,,,,,17.60
01-02-2023 06:45:20,,,,,17.50
01-02-2023 06:55:20,,,,,17.50
01-02-2023 07:00:20,,,,,17.40
01-02-2023 07:05:20,,,,,17.30
01-02-2023 07:20:20,0.00,0.00,0.00,0.00,17.30
01-02-2023 07:21:20,,,0.00,,
01-02-2023 07:25:20,0.00,0.00,,0.00,17.40
01-02-2023 07:30:20,,,,1.00,17.60
01-02-2023 07:35:20,,,,0.00,17.90
01-02-2023 07:40:20,,,,,18.10
01-02-2023 07:45:20,,,,,18.20
01-02-2023 07:50:20,,,,,18.40
01-02-2023 07:55:20,,,,0.00,18.60
01-02-2023 08:00:20,,,,1.00,18.80
01-02-2023 08:05:20,,,,3.00,18.90
01-02-2023 08:10:20,,,,1.00,19.20
01-02-2023 08:15:20,,,,3.00,19.30
01-02-2023 08:20:20,,,,6.00,19.50
01-02-2023 08:25:20,,,,4.00,19.70
01-02-2023 08:30:20,,,,3.00,19.90
01-02-2023 08:35:20,,,,3.00,20.10
01-02-2023 08:40:20,,,,4.00,20.40
01-02-2023 08:45:20,,,,4.00,20.90
01-02-2023 08:50:20,,,,3.00,21.30
01-02-2023 08:55:20,,,,6.00,21.60
01-02-2023 09:00:20,0.00,,,3.00,21.80
01-02-2023 09:05:20,0.08,,,,22.10
01-02-2023 09:10:20,,,,3.00,22.30
01-02-2023 09:15:20,,,,4.00,22.60
01-02-2023 09:20:20,0.08,0.00,0.00,3.00,22.70
01-02-2023 09:21:20,,,0.00,,
01-02-2023 09:25:20,0.08,0.00,,8.00,23.00
01-02-2023 09:30:20,,,,6.00,23.30
01-02-2023 09:35:20,,,,1.00,23.50
01-02-2023 09:40:20,,,,4.00,23.70
01-02-2023 09:45:20,,,,8.00,23.90
01-02-2023 09:50:20,,,,4.00,24.20
01-02-2023 09:55:20,,,,1.00,24.40
01-02-2023 10:00:20,0.08,,,,24.70
01-02-2023 10:05:20,0.33,,,,24.90
01-02-2023 10:10:20,,,,1.00,25.20
01-02-2023 10:15:20,,,,6.00,25.60
01-02-2023 10:20:20,,,,1.00,25.80
01-02-2023 10:25:20,,,,6.00,26.10
01-02-2023 10:30:20,,,,1.00,26.40
01-02-2023 10:35:20,,,,0.00,26.60
01-02-2023 10:40:20,,,,8.00,26.90
01-02-2023 10:45:20,,,,4.00,27.30
01-02-2023 10:50:20,,,,1.00,27.40
01-02-2023 10:55:20,,,,6.00,27.70
01-02-2023 11:00:20,0.33,,,1.00,27.80
01-02-2023 11:05:20,0.71,,,0.00,28.00
01-02-2023 11:10:20,,,,4.00,28.20
01-02-2023 11:15:20,,,,3.00,28.30
01-02-2023 11:20:20,0.71,0.00,0.00,3.00,28.60
01-02-2023 11:21:20,,,0.00,,
01-02-2023 11:25:20,0.71,0.00,,1.00,28.90
01-02-2023 11:30:20,,,,1.00,29.20
01-02-2023 11:35:20,,,,0.00,29.40
01-02-2023 11:40:20,,,,4.00,29.40
01-02-2023 11:45:20,,,,3.00,29.70
01-02-2023 11:50:20,,,,6.00,29.80
01-02-2023 11:55:20,,,,4.00,29.90
01-02-2023 12:00:20,0.71,,,3.00,29.80
01-02-2023 12:05:20,1.22,,,0.00,29.90
01-02-2023 12:10:20,,,,1.00,30.20
01-02-2023 12:15:20,,,,3.00,30.50
01-02-2023 12:20:20,,,,3.00,30.80
01-02-2023 12:25:20,,,,8.00,31.00
01-02-2023 12:30:20,,,,3.00,31.20
01-02-2023 12:35:20,,,,3.00,31.30
01-02-2023 12:40:20,,,,0.00,31.60
01-02-2023 12:45:20,,,,8.00,31.60
01-02-2023 12:50:20,,,,1.00,31.40
01-02-2023 12:55:20,,,,1.00,31.40
01-02-2023 13:00:20,1.22,,,9.00,31.30
01-02-2023 13:05:20,1.73,,,8.00,31.20
01-02-2023 13:10:20,,,,3.00,31.10
01-02-2023 13:15:20,,,,9.00,31.20
01-02-2023 13:20:20,1.73,0.00,0.00,4.00,31.20
01-02-2023 13:21:20,,,0.00,,
01-02-2023 13:25:20,1.73,0.00,,8.00,31.20
01-02-2023 13:30:20,,,,6.00,31.30
01-02-2023 13:35:20,,,,3.00,31.40
01-02-2023 13:40:20,,,,6.00,31.60
01-02-2023 13:45:20,,,,9.00,31.60
01-02-2023 13:50:20,,,,1.00,31.40
01-02-2023 13:55:20,,,,0.00,31.60
01-02-2023 14:00:20,1.73,,,3.00,32.00
01-02-2023 14:05:20,2.03,,,11.00,32.20
01-02-2023 14:10:20,,,,1.00,32.10
01-02-2023 14:15:20,,,,1.00,32.20
01-02-2023 14:20:20,,,,3.00,32.30
01-02-2023 14:25:20,,,,,32.30
01-02-2023 14:30:20,,,,3.00,32.20
01-02-2023 14:35:20,,,,1.00,32.20
01-02-2023 14:40:20,,,,0.00,32.60
01-02-2023 14:45:20,,,,3.00,
01-02-2023 14:50:20,,,,,32.60
01-02-2023 14:55:20,,,,3.00,32.70
01-02-2023 15:00:20,2.03,,,4.00,
01-02-2023 15:05:20,2.46,,,0.00,32.70
01-02-2023 15:10:20,,,,0.00,32.80
01-02-2023 15:15:20,,,,3.00,32.90
01-02-2023 15:20:20,2.46,0.00,,0.00,32.80
01-02-2023 15:21:20,,,0.00,,
01-02-2023 15:22:20,,,0.00,,
01-02-2023 15:25:20,2.46,0.00,,1.00,33.10
01-02-2023 15:30:20,,,,1.00,33.30
01-02-2023 15:35:20,,,,0.00,33.30
01-02-2023 15:40:20,,,,3.00,33.00
01-02-2023 15:45:20,,,,0.00,32.70
01-02-2023 15:50:20,,,,0.00,32.80
01-02-2023 15:55:20,,,,1.00,33.10
01-02-2023 16:00:20,2.46,,,3.00,33.20
01-02-2023 16:05:20,2.79,,,0.00,33.20
01-02-2023 16:10:20,,,,3.00,33.60
01-02-2023 16:15:20,,,,4.00,
01-02-2023 16:20:20,,,,3.00,33.60
01-02-2023 16:25:20,,,,3.00,33.50
01-02-2023 16:30:20,,,,0.00,33.40
01-02-2023 16:35:20,,,,3.00,33.40
01-02-2023 16:40:20,,,,0.00,33.60
01-02-2023 16:45:20,,,,3.00,33.60
01-02-2023 16:50:20,,,,0.00,33.50
01-02-2023 16:55:20,,,,,33.50
01-02-2023 17:00:20,2.79,,,,33.40
01-02-2023 17:05:20,2.97,,,,33.40
01-02-2023 17:10:20,,,,,33.30
01-02-2023 17:15:20,,,,,33.10
01-02-2023 17:20:20,2.97,0.00,0.00,0.00,33.10
01-02-2023 17:21:20,,,0.00,,
01-02-2023 17:25:20,2.97,0.00,,0.00,32.90
01-02-2023 17:30:20,,,,,32.80
01-02-2023 17:35:20,,,,,32.40
01-02-2023 17:40:20,,,,,32.30
01-02-2023 17:45:20,,,,,32.20
01-02-2023 17:50:20,,,,,31.90
01-02-2023 17:55:20,,,,,31.60
01-02-2023 18:00:20,2.97,,,,31.40
01-02-2023 18:05:20,3.00,,,,31.10
01-02-2023 18:10:20,,,,,30.70
01-02-2023 18:15:20,,,,,30.20
01-02-2023 18:20:20,,,,,29.90
01-02-2023 18:25:20,,,,,29.50
01-02-2023 18:30:20,,,,,28.80
01-02-2023 18:35:20,,,,,28.20
01-02-2023 18:40:20,,,,,27.80
01-02-2023 18:45:20,,,,,27.40
01-02-2023 18:50:20,,,,0.00,27.10
01-02-2023 18:55:20,,,,1.00,26.70
01-02-2023 19:00:20,3.00,,,0.00,26.20
01-02-2023 19:05:20,3.02,,,,25.90
01-02-2023 19:10:20,,,,,25.80
01-02-2023 19:15:20,,,,,25.70
01-02-2023 19:20:20,3.02,0.00,,0.00,25.30
01-02-2023 19:21:20,,,0.00,,
01-02-2023 19:22:20,,,0.00,,
01-02-2023 19:25:20,3.02,0.00,,0.00,25.20
01-02-2023 19:30:20,,,,,25.10
01-02-2023 19:35:20,,,,,25.00
01-02-2023 19:40:20,,,,,24.80
01-02-2023 19:45:20,,,,,24.70
01-02-2023 19:50:20,,,,,24.70
01-02-2023 19:55:20,,,,,24.50
01-02-2023 20:00:20,,,,,24.30
01-02-2023 20:05:20,,,,,24.20
01-02-2023 20:10:20,,,,,24.00
01-02-2023 20:15:20,,,,,23.80
01-02-2023 20:20:20,,,,,23.70
01-02-2023 20:25:20,,,,,23.70
01-02-2023 20:30:20,,,,,23.60
01-02-2023 20:35:20,,,,,23.50
01-02-2023 20:40:20,,,,,23.40
01-02-2023 20:45:20,,,,,23.30
01-02-2023 20:50:20,,,,,23.20
01-02-2023 20:55:20,,,,,23.10
01-02-2023 21:00:20,,,,,23.00
01-02-2023 21:05:20,,,,,23.00
01-02-2023 21:10:20,,,,,23.10
01-02-2023 21:15:20,,,,,23.10
01-02-2023 21:20:20,3.02,0.00,0.00,0.00,22.90
01-02-2023 21:21:20,,,0.00,,
01-02-2023 21:25:20,3.02,0.00,,0.00,22.90
01-02-2023 21:30:20,,,,,22.80
01-02-2023 21:35:20,,,,,22.80
01-02-2023 21:40:20,,,,,22.70
01-02-2023 21:45:20,,,,,22.60
01-02-2023 21:50:20,,,,,22.40
01-02-2023 21:55:20,,,,,22.40
01-02-2023 22:00:20,,,,,22.30
01-02-2023 22:05:20,,,,,22.20
01-02-2023 22:10:20,,,,,22.10
01-02-2023 22:15:20,,,,,22.10
01-02-2023 22:20:20,,,,,22.00
01-02-2023 22:25:20,,,,,21.90
01-02-2023 22:30:20,,,,,21.90
01-02-2023 22:35:20,,,,,22.00
01-02-2023 22:40:20,,,,,21.90
01-02-2023 22:45:20,,,,,21.90
01-02-2023 22:50:20,,,,,21.80
01-02-2023 22:55:20,,,,,21.70
01-02-2023 23:00:20,,,,,21.60
01-02-2023 23:05:20,,,,,21.50
01-02-2023 23:10:20,,,,,21.40
01-02-2023 23:15:20,,,,,21.30
01-02-2023 23:20:20,3.02,0.00,,0.00,21.30
01-02-2023 23:21:20,,,0.00,,
01-02-2023 23:22:20,,,0.00,,
01-02-2023 23:25:20,3.02,0.00,,0.00,21.30
01-02-2023 23:30:20,,,,,21.30
01-02-2023 23:35:20,,,,,21.20
01-02-2023 23:50:20,,,,,21.20
01-02-2023 23:55:20,,,,,21.10
02-02-2023 00:00:20,3.02,,,,
02-02-2023 00:05:20,0.00,,,,
02-02-2023 00:10:20,,,,,21.10
02-02-2023 00:15:20,,,,,21.00
02-02-2023 00:20:20,,,,,21.00
02-02-2023 00:25:20,,,,,20.90
02-02-2023 00:35:20,,,,,20.90
02-02-2023 00:40:20,,,,,20.80
02-02-2023 00:50:20,,,,,20.80
02-02-2023 00:55:20,,,,,20.70
02-02-2023 01:00:20,,,,,20.70
02-02-2023 01:05:20,,,,,20.60
02-02-2023 01:10:20,,,,,20.50
02-02-2023 01:15:20,,,,,20.50
02-02-2023 01:20:20,0.00,0.00,,0.00,20.60
02-02-2023 01:21:20,,,0.00,,
02-02-2023 01:22:20,,,0.00,,
02-02-2023 01:25:20,0.00,0.00,,0.00,20.50
02-02-2023 01:30:20,,,,,20.40
02-02-2023 01:35:20,,,,,20.30
02-02-2023 01:40:20,,,,,20.20
02-02-2023 01:45:20,,,,,20.20
02-02-2023 01:50:20,,,,,20.10
02-02-2023 02:05:20,,,,,20.10
02-02-2023 02:10:20,,,,,20.00
02-02-2023 02:15:20,,,,,19.90
02-02-2023 02:20:20,,,,,20.00
02-02-2023 02:25:20,,,,,20.00
02-02-2023 02:30:20,,,,,19.90
02-02-2023 02:35:20,,,,,20.00
02-02-2023 02:40:20,,,,,20.00
02-02-2023 02:45:20,,,,,19.90
02-02-2023 02:55:20,,,,,19.90
02-02-2023 03:00:20,,,,,19.80
02-02-2023 03:05:20,,,,,19.80
02-02-2023 03:10:20,,,,,19.70
02-02-2023 03:20:20,0.00,0.00,,0.00,19.70
02-02-2023 03:21:20,,,0.00,,
02-02-2023 03:22:20,,,0.00,,
02-02-2023 03:25:20,0.00,0.00,,0.00,19.70
02-02-2023 03:35:20,,,,,19.70
02-02-2023 03:40:20,,,,,19.60
02-02-2023 03:45:20,,,,,19.60
02-02-2023 03:50:20,,,,,19.50
02-02-2023 03:55:20,,,,,19.50
02-02-2023 04:00:20,,,,,19.40
02-02-2023 04:15:20,,,,0.00,19.40
02-02-2023 04:20:20,,,,1.00,19.60
02-02-2023 04:25:20,,,,3.00,19.70
02-02-2023 04:30:20,,,,0.00,19.70
02-02-2023 04:35:20,,,,,19.80
02-02-2023 04:40:20,,,,0.00,19.80
02-02-2023 04:45:20,,,,1.00,20.00
02-02-2023 04:50:20,,,,,20.10
02-02-2023 04:55:20,,,,1.00,20.20
02-02-2023 05:00:20,,,,3.00,
02-02-2023 05:05:20,,,,0.00,
02-02-2023 05:10:20,,,,,20.20
02-02-2023 05:15:20,,,,,20.30
02-02-2023 05:20:20,0.00,0.00,0.00,0.00,20.40
02-02-2023 05:21:20,,,0.00,,
02-02-2023 05:25:20,0.00,0.00,,0.00,20.60
02-02-2023 05:35:20,,,,,20.60
02-02-2023 05:40:20,,,,0.00,20.70
02-02-2023 05:45:20,,,,4.00,20.70
02-02-2023 05:50:20,,,,3.00,20.60
02-02-2023 05:55:20,,,,3.00,
02-02-2023 06:00:20,,,,1.00,
02-02-2023 06:05:20,,,,1.00,
02-02-2023 06:10:20,,,,3.00,
02-02-2023 06:15:20,,,,1.00,20.60
02-02-2023 06:20:20,,,,1.00,20.70
02-02-2023 06:25:20,,,,0.00,
02-02-2023 06:30:20,,,,0.00,
02-02-2023 06:35:20,,,,1.00,20.70
02-02-2023 06:40:20,,,,1.00,20.80
02-02-2023 06:45:20,,,,0.00,20.70
02-02-2023 07:00:20,,,,,20.70
02-02-2023 07:05:20,,,,,20.80
02-02-2023 07:15:20,,,,,20.80
02-02-2023 07:20:20,0.00,0.00,0.00,0.00,20.90
02-02-2023 07:21:20,,,0.00,,
02-02-2023 07:25:20,0.00,0.00,,0.00,20.90
02-02-2023 07:30:20,,,,,20.90
02-02-2023 07:35:20,,,,,21.00
02-02-2023 07:40:20,,,,,21.00
02-02-2023 07:45:20,,,,,21.10
02-02-2023 07:50:20,,,,,21.20
02-02-2023 07:55:20,,,,0.00,21.20
02-02-2023 08:00:20,,,,1.00,21.30
02-02-2023 08:05:20,,,,1.00,21.40
02-02-2023 08:10:20,,,,0.00,21.70
02-02-2023 08:15:20,,,,,21.80
02-02-2023 08:20:20,,,,,21.90
02-02-2023 08:25:20,,,,,22.10
02-02-2023 08:30:20,,,,0.00,22.10
02-02-2023 08:35:20,,,,1.00,22.20
02-02-2023 08:40:20,,,,3.00,22.40
02-02-2023 08:45:20,,,,4.00,22.60
02-02-2023 08:50:20,,,,6.00,22.90
02-02-2023 08:55:20,,,,6.00,23.20
02-02-2023 09:00:20,0.00,,,8.00,23.60
02-02-2023 09:05:20,0.08,,,3.00,23.90
02-02-2023 09:10:20,,,,3.00,24.00
02-02-2023 09:15:20,,,,6.00,24.10
02-02-2023 09:20:20,0.08,0.00,0.00,3.00,24.30
02-02-2023 09:21:20,,,0.00,,
02-02-2023 09:25:20,0.08,0.00,,3.00,24.50
02-02-2023 09:30:20,,,,1.00,24.80
02-02-2023 09:35:20,,,,4.00,25.10
02-02-2023 09:40:20,,,,3.00,25.40
02-02-2023 09:45:20,,,,6.00,25.60
02-02-2023 09:50:20,,,,1.00,25.80
02-02-2023 09:55:20,,,,1.00,26.20
02-02-2023 10:00:20,0.08,,,6.00,26.50
02-02-2023 10:05:20,0.33,,,1.00,26.60
02-02-2023 10:10:20,,,,3.00,26.80
02-02-2023 10:15:20,,,,,26.90
02-02-2023 10:20:20,,,,3.00,27.10
02-02-2023 10:25:20,,,,6.00,27.20
02-02-2023 10:30:20,,,,6.00,27.20
02-02-2023 10:35:20,,,,3.00,27.40
02-02-2023 10:40:20,,,,8.00,27.70
02-02-2023 10:45:20,,,,9.00,27.80
02-02-2023 10:50:20,,,,9.00,27.90
02-02-2023 10:55:20,,,,3.00,28.00
02-02-2023 11:00:20,0.33,,,8.00,28.20
02-02-2023 11:05:20,0.71,,,4.00,28.30
02-02-2023 11:10:20,,,,6.00,28.50
02-02-2023 11:15:20,,,,9.00,28.70
02-02-2023 11:20:20,0.71,0.00,0.00,8.00,28.80
02-02-2023 11:21:20,,,0.00,,
02-02-2023 11:25:20,0.71,0.00,,8.00,28.90
02-02-2023 11:30:20,,,,,29.20
02-02-2023 11:35:20,,,,,29.30
02-02-2023 11:40:20,,,,,29.60
02-02-2023 11:45:20,,,,8.00,29.60
02-02-2023 11:50:20,,,,9.00,29.80
02-02-2023 11:55:20,,,,11.00,30.00
02-02-2023 12:00:20,0.71,,,8.00,30.20
02-02-2023 12:05:20,1.22,,,9.00,30.30
02-02-2023 12:10:20,,,,6.00,30.60
02-02-2023 12:15:20,,,,8.00,30.60
02-02-2023 12:20:20,,,,9.00,30.70
02-02-2023 12:25:20,,,,3.00,30.80
02-02-2023 12:30:20,,,,6.00,30.90
02-02-2023 12:35:20,,,,3.00,31.10
02-02-2023 12:40:20,,,,8.00,31.20
02-02-2023 12:45:20,,,,8.00,31.30
02-02-2023 12:50:20,,,,9.00,31.40
02-02-2023 12:55:20,,,,8.00,31.70
02-02-2023 13:00:20,1.22,,,9.00,31.80
02-02-2023 13:05:20,1.75,,,8.00,
02-02-2023 13:10:20,,,,9.00,31.80
02-02-2023 13:15:20,,,,1.00,31.90
02-02-2023 13:20:20,1.75,0.00,0.00,1.00,32.10
02-02-2023 13:21:20,,,0.00,,
02-02-2023 13:25:20,1.75,0.00,,8.00,32.20
02-02-2023 13:30:20,,,,6.00,32.40
02-02-2023 13:35:20,,,,6.00,
02-02-2023 13:40:20,,,,8.00,
02-02-2023 13:45:20,,,,9.00,32.40
02-02-2023 13:50:20,,,,6.00,32.50
02-02-2023 13:55:20,,,,8.00,32.60
02-02-2023 14:00:20,1.75,,,3.00,32.80
02-02-2023 14:05:20,2.06,,,8.00,32.90
02-02-2023 14:10:20,,,,6.00,32.80
02-02-2023 14:15:20,,,,8.00,32.90
02-02-2023 14:20:20,,,,8.00,33.10
02-02-2023 14:25:20,,,,4.00,33.10
02-02-2023 14:30:20,,,,3.00,33.20
02-02-2023 14:35:20,,,,6.00,33.30
02-02-2023 14:40:20,,,,3.00,
02-02-2023 14:45:20,,,,3.00,33.30
02-02-2023 14:50:20,,,,8.00,33.50
02-02-2023 14:55:20,,,,8.00,33.40
02-02-2023 15:00:20,2.06,,,6.00,33.40
02-02-2023 15:05:20,2.49,,,1.00,33.50
02-02-2023 15:10:20,,,,8.00,33.70
02-02-2023 15:15:20,,,,8.00,33.60
02-02-2023 15:20:20,2.49,0.00,0.00,6.00,33.40
02-02-2023 15:21:20,,,0.00,,
02-02-2023 15:25:20,2.49,0.00,,6.00,33.30
02-02-2023 15:30:20,,,,3.00,33.50
02-02-2023 15:35:20,,,,6.00,33.70
02-02-2023 15:40:20,,,,6.00,33.50
02-02-2023 15:45:20,,,,3.00,33.50
02-02-2023 15:50:20,,,,9.00,33.60
02-02-2023 15:55:20,,,,6.00,33.50
02-02-2023 16:00:20,2.49,,,9.00,33.40
02-02-2023 16:05:20,2.84,,,9.00,33.30
02-02-2023 16:10:20,,,,8.00,33.30
02-02-2023 16:15:20,,,,11.00,33.20
02-02-2023 16:20:20,,,,8.00,33.10
02-02-2023 16:25:20,,,,,33.00
02-02-2023 16:30:20,,,,,32.90
02-02-2023 16:35:20,,,,,32.80
02-02-2023 16:40:20,,,,8.00,
02-02-2023 16:45:20,,,,6.00,32.80
02-02-2023 16:50:20,,,,,32.70
02-02-2023 16:55:20,,,,,32.80
02-02-2023 17:00:20,2.84,,,,32.70
02-02-2023 17:05:20,3.07,,,,32.70
02-02-2023 17:10:20,,,,,32.50
02-02-2023 17:15:20,,,,,32.40
02-02-2023 17:20:20,3.07,0.00,0.00,6.00,32.30
02-02-2023 17:21:20,,,0.00,,
02-02-2023 17:25:20,3.07,0.00,,3.00,32.20
02-02-2023 17:30:20,,,,1.00,32.10
02-02-2023 17:35:20,,,,0.00,32.10
02-02-2023 17:40:20,,,,,31.90
02-02-2023 17:45:20,,,,,31.70
02-02-2023 17:50:20,,,,,31.40
02-02-2023 17:55:20,,,,,31.30
02-02-2023 18:00:20,3.07,,,,31.10
02-02-2023 18:05:20,3.15,,,,30.90
02-02-2023 18:10:20,,,,,30.70
02-02-2023 18:15:20,,,,,30.40
02-02-2023 18:20:20,,,,,30.00
02-02-2023 18:25:20,,,,,29.80
02-02-2023 18:30:20,,,,0.00,29.70
02-02-2023 18:35:20,,,,1.00,29.60
02-02-2023 18:40:20,,,,,29.40
02-02-2023 18:45:20,,,,1.00,29.20
02-02-2023 18:50:20,,,,0.00,29.10
02-02-2023 18:55:20,,,,,28.90
02-02-2023 19:00:20,3.15,,,,28.80
02-02-2023 19:05:20,3.18,,,0.00,28.70
02-02-2023 19:10:20,,,,1.00,28.60
02-02-2023 19:15:20,,,,0.00,28.40
02-02-2023 19:20:20,3.18,0.00,,0.00,28.30
02-02-2023 19:21:20,,,0.00,,
02-02-2023 19:22:20,,,0.00,,
02-02-2023 19:25:20,3.18,0.00,,0.00,28.10
02-02-2023 19:30:20,,,,,27.90
02-02-2023 19:35:20,,,,,27.90
02-02-2023 19:40:20,,,,,27.80
02-02-2023 19:50:20,,,,,27.80
02-02-2023 19:55:20,,,,,27.70
02-02-2023 20:00:20,3.18,,,,27.70
02-02-2023 20:05:20,3.20,,,,27.50
02-02-2023 20:10:20,,,,,27.40
02-02-2023 20:15:20,,,,,27.20
02-02-2023 20:20:20,,,,,27.10
02-02-2023 20:25:20,,,,,26.80
02-02-2023 20:30:20,,,,,26.70
02-02-2023 20:35:20,,,,,26.60
02-02-2023 20:40:20,,,,,26.60
02-02-2023 20:45:20,,,,,26.40
02-02-2023 20:50:20,,,,,26.30
02-02-2023 20:55:20,,,,,26.30
02-02-2023 21:00:20,,,,,26.20
02-02-2023 21:05:20,,,,,26.10
02-02-2023 21:10:20,,,,,26.00
02-02-2023 21:15:20,,,,,25.90
02-02-2023 21:20:20,3.20,0.00,,0.00,26.00
02-02-2023 21:21:20,,,0.00,,
02-02-2023 21:22:20,,,0.00,,
02-02-2023 21:25:20,3.20,0.00,,0.00,26.00
02-02-2023 21:30:20,,,,,26.00
02-02-2023 21:35:20,,,,,25.90
02-02-2023 21:45:20,,,,,25.90
02-02-2023 21:50:20,,,,,26.00
02-02-2023 21:55:20,,,,,26.10
02-02-2023 22:10:20,,,,,26.10
02-02-2023 22:15:20,,,,,26.20
02-02-2023 22:25:20,,,,,26.20
02-02-2023 22:30:20,,,,,26.10
02-02-2023 22:35:20,,,,,26.20
02-02-2023 22:40:20,,,,,26.20
02-02-2023 22:45:20,,,,,26.10
02-02-2023 22:55:20,,,,,26.10
02-02-2023 23:00:20,,,,,26.00
02-02-2023 23:15:20,,,,,26.00
02-02-2023 23:20:20,3.20,0.00,,0.00,26.10
02-02-2023 23:21:20,,,0.00,,
02-02-2023 23:22:20,,,0.00,,
02-02-2023 23:25:20,3.20,0.00,,0.00,26.00
02-02-2023 23:40:20,,,,,26.00
02-02-2023 23:45:20,,,,,25.90
02-02-2023 23:55:20,,,,,25.90
03-02-2023 00:00:20,3.20,,,,25.80
03-02-2023 00:05:20,0.00,,,,
03-02-2023 00:20:20,,,,,25.80
03-02-2023 00:25:20,,,,,25.70
03-02-2023 00:30:20,,,,,25.60
03-02-2023 00:35:20,,,,0.00,25.40
03-02-2023 00:40:20,,,,6.00,25.30
03-02-2023 00:45:20,,,,1.00,25.00
03-02-2023 00:50:20,,,,1.00,24.80
03-02-2023 00:55:20,,,,6.00,
03-02-2023 01:05:20,,,,6.00,24.80
03-02-2023 01:10:20,,,,3.00,24.70
03-02-2023 01:15:20,,,,1.00,24.70
03-02-2023 01:20:20,0.00,0.00,,0.00,24.60
03-02-2023 01:21:20,,,0.00,,
03-02-2023 01:22:20,,,0.00,,
03-02-2023 01:25:20,0.00,0.00,,0.00,24.60
03-02-2023 01:30:20,,,,3.00,
03-02-2023 01:35:20,,,,1.00,
03-02-2023 01:50:20,,,,1.00,24.60
03-02-2023 01:55:20,,,,0.00,24.50
03-02-2023 02:00:20,,,,,24.40
03-02-2023 02:10:20,,,,,24.40
03-02-2023 02:15:20,,,,0.00,24.30
03-02-2023 02:20:20,,,,3.00,24.20
03-02-2023 02:25:20,,,,0.00,23.90
03-02-2023 02:30:20,,,,0.00,23.80
03-02-2023 02:35:20,,,,6.00,23.90
03-02-2023 02:40:20,,,,6.00,24.10
03-02-2023 02:45:20,,,,4.00,24.30
03-02-2023 02:50:20,,,,6.00,24.30
03-02-2023 02:55:20,,,,1.00,24.40
